ACCIDENT_NO,ATMOSPH_COND_DESC,ATMOSPH_INDEX
T20180007800,Clear,1.0
T20180007801,Clear,1.0
T20180007804,Clear,1.0
T20180007806,Clear,1.0
T20180007809,Clear,1.0
T20180007812,Fog,6.0
T20180007814,Clear,1.0
T20180007817,Clear,1.0
T20180007819,Clear,1.0
T20180007820,Clear,1.0
T20180007821,Clear,1.0
T20180007823,Clear,1.0
T20180007824,Clear,1.0
T20180007825,Clear,1.0
T20180007828,Clear,1.0
T20180007830,Clear,1.0
T20180007832,Clear,1.0
T20180007833,Clear,1.0
T20180007836,Snowing,7.0
T20180007838,Clear,1.0
T20180007839,Clear,1.0
T20180007842,Clear,1.0
T20180007844,Clear,1.0
T20180007845,Clear,1.0
T20180007847,Clear,1.0
T20180007849,Clear,1.0
T20180007852,Clear,1.0
T20180007853,Clear,1.0
T20180007854,Clear,1.0
T20180007855,Clear,1.0
T20180007861,Clear,1.0
T20180007862,Clear,1.0
T20180007864,Clear,1.0
T20180007867,Raining,3.0
T20180007871,Clear,1.0
T20180007873,Raining,3.0
T20180007877,Clear,1.0
T20180007878,Clear,1.0
T20180007880,Clear,1.0
T20180007881,Clear,1.0
T20180007882,Clear,1.0
T20180007883,Clear,1.0
T20180007886,Clear,1.0
T20180007888,Raining,3.0
T20180007889,Raining,3.0
T20180007892,Clear,1.0
T20180007895,Clear,1.0
T20180007896,Clear,1.0
T20180007897,Clear,1.0
T20180007898,Clear,1.0
T20180007901,Clear,1.0
T20180007902,Clear,1.0
T20180007903,Clear,1.0
T20180007904,Clear,1.0
T20180007905,Clear,1.0
T20180007907,Clear,1.0
T20180007908,Clear,1.0
T20180007913,Clear,1.0
T20180007914,Clear,1.0
T20180007915,Clear,1.0
T20180007918,Clear,1.0
T20180007921,Clear,1.0
T20180007922,Clear,1.0
T20180007924,Clear,1.0
T20180007929,Clear,1.0
T20180007930,Clear,1.0
T20180007932,Clear,1.0
T20180007933,Clear,1.0
T20180007934,Clear,1.0
T20180007935,Clear,1.0
T20180007937,Clear,1.0
T20180007938,Clear,1.0
T20180007939,Clear,1.0
T20180007942,Clear,1.0
T20180007943,Clear,1.0
T20180007945,Clear,1.0
T20180007946,Clear,1.0
T20180007947,Clear,1.0
T20180007948,Clear,1.0
T20180007949,Clear,1.0
T20180007950,Clear,1.0
T20180007956,Clear,1.0
T20180007959,Clear,1.0
T20180007960,Clear,1.0
T20180007961,Clear,1.0
T20180007962,Clear,1.0
T20180007963,Clear,1.0
T20180007964,Clear,1.0
T20180007968,Clear,1.0
T20180007972,Clear,1.0
T20180007973,Clear,1.0
T20180007974,Clear,1.0
T20180007977,Clear,1.0
T20180007978,Clear,1.0
T20180007979,Clear,1.0
T20180007983,Clear,1.0
T20180007986,Clear,1.0
T20180007988,Clear,1.0
T20180007989,Clear,1.0
T20180007991,Clear,1.0
T20180007992,Clear,1.0
T20180007995,Clear,1.0
T20180007999,Clear,1.0
T20180008006,Clear,1.0
T20180008009,Clear,1.0
T20180008013,Clear,1.0
T20180008014,Clear,1.0
T20180008018,Clear,1.0
T20180008019,Clear,1.0
T20180008020,Clear,1.0
T20180008023,Clear,1.0
T20180008024,Clear,1.0
T20180008026,Clear,1.0
T20180008029,Clear,1.0
