ACCIDENT_NO,ATMOSPH_COND_DESC,ATMOSPH_INDEX
T20120000009,Clear,1.0
T20120000012,Clear,1.0
T20120000013,Clear,1.0
T20120000018,Clear,1.0
T20120000021,Clear,1.0
T20120000028,Clear,1.0
T20120000032,Clear,1.0
T20120000043,Clear,1.0
T20120000044,Clear,1.0
T20120000046,Clear,1.0
T20120000050,Clear,1.0
T20120000053,Clear,1.0
T20120000054,Clear,1.0
T20120000056,Clear,1.0
T20120000058,Clear,1.0
T20120000059,Clear,1.0
T20120000060,Clear,1.0
T20120000062,Clear,1.0
T20120000063,Clear,1.0
T20120000064,Clear,1.0
T20120000065,Clear,1.0
T20120000066,Clear,1.0
T20120000079,Clear,1.0
T20120000083,Clear,1.0
T20120000084,Clear,1.0
T20120000086,Clear,1.0
T20120000087,Clear,1.0
T20120000090,Clear,1.0
T20120000091,Clear,1.0
T20120000093,Clear,1.0
T20120000096,Clear,1.0
T20120000097,Clear,1.0
T20120000098,Clear,1.0
T20120000099,Clear,1.0
T20120000100,Clear,1.0
T20120000104,Clear,1.0
T20120000109,Clear,1.0
T20120000116,Clear,1.0
T20120000124,Clear,1.0
T20120000131,Clear,1.0
T20120000133,Clear,1.0
T20120000137,Clear,1.0
T20120000138,Clear,1.0
T20120000139,Clear,1.0
T20120000141,Clear,1.0
T20120000142,Clear,1.0
T20120000146,Clear,1.0
T20120000147,Clear,1.0
T20120000148,Clear,1.0
T20120000152,Raining,3.0
T20120000155,Clear,1.0
T20120000165,Clear,1.0
T20120000167,Clear,1.0
T20120000169,Clear,1.0
T20120000174,Clear,1.0
T20120000178,Clear,1.0
T20120000185,Raining,3.0
T20120000186,Raining,3.0
T20120000190,Raining,3.0
T20120000195,Raining,3.0
T20120000204,Clear,1.0
T20120000205,Clear,1.0
T20120000206,"Dust, Strong winds",2.67
T20120000211,Clear,1.0
T20120000214,Clear,1.0
T20120000216,Clear,1.0
T20120000224,Clear,1.0
T20120000225,Clear,1.0
T20120000227,Clear,1.0
T20120000237,Clear,1.0
T20120000238,Clear,1.0
T20120000242,Clear,1.0
T20120000245,Clear,1.0
T20120000246,Clear,1.0
T20120000251,Clear,1.0
T20120000253,Clear,1.0
T20120000255,Clear,1.0
T20120000256,Clear,1.0
T20120000258,Clear,1.0
T20120000263,Clear,1.0
T20120000264,Clear,1.0
T20120000275,Clear,1.0
T20120000277,Clear,1.0
T20120000278,Clear,1.0
T20120000279,Clear,1.0
T20120000285,Clear,1.0
T20120000286,Clear,1.0
T20120000293,Clear,1.0
T20120000300,Clear,1.0
T20120000304,Clear,1.0
T20120000306,Clear,1.0
T20120000307,Clear,1.0
T20120000314,Clear,1.0
T20120000315,Clear,1.0
T20120000318,Clear,1.0
T20120000321,Clear,1.0
T20120000323,Clear,1.0
T20120000328,Clear,1.0
T20120000334,Clear,1.0
T20120000338,Clear,1.0
T20120000342,Clear,1.0
T20120000343,Clear,1.0
T20120000351,Clear,1.0
T20120000353,Clear,1.0
T20120000356,Clear,1.0
T20120000361,Clear,1.0
T20120000367,Clear,1.0
T20120000371,Clear,1.0
T20120000375,Clear,1.0
T20120000376,Clear,1.0
T20120000377,Clear,1.0
T20120000382,Clear,1.0
T20120000388,Clear,1.0
T20120000390,Clear,1.0
T20120000391,Clear,1.0
T20120000396,Clear,1.0
T20120000400,Clear,1.0
T20120000403,Clear,1.0
T20120000404,Clear,1.0
T20120000410,Clear,1.0
T20120000411,Clear,1.0
T20120000414,Clear,1.0
T20120000415,Clear,1.0
T20120000417,Clear,1.0
T20120000422,Clear,1.0
T20120000424,Clear,1.0
T20120000425,Clear,1.0
T20120000427,Clear,1.0
T20120000428,Clear,1.0
T20120000429,Clear,1.0
T20120000430,Clear,1.0
T20120000431,Clear,1.0
T20120000433,Clear,1.0
T20120000434,Clear,1.0
T20120000435,Clear,1.0
T20120000436,Clear,1.0
T20120000447,Clear,1.0
T20120000449,Clear,1.0
T20120000450,Clear,1.0
T20120000452,Clear,1.0
T20120000453,Clear,1.0
T20120000457,Raining,3.0
T20120000458,Clear,1.0
T20120000465,Raining,3.0
T20120000466,Clear,1.0
T20120000475,Raining,3.0
T20120000476,Raining,3.0
T20120000477,Clear,1.0
T20120000480,Raining,3.0
T20120000484,Raining,3.0
T20120000485,Raining,3.0
T20120000486,Raining,3.0
T20120000487,Clear,1.0
T20120000492,Clear,1.0
T20120000493,Raining,3.0
T20120000498,Raining,3.0
T20120000499,Raining,3.0
T20120000501,Clear,1.0
T20120000506,Clear,1.0
T20120000507,Clear,1.0
T20120000510,Clear,1.0
T20120000519,Raining,3.0
T20120000527,Clear,1.0
T20120000529,Clear,1.0
T20120000531,Clear,1.0
T20120000533,Clear,1.0
T20120000537,Clear,1.0
T20120000539,Clear,1.0
T20120000540,Clear,1.0
T20120000541,Clear,1.0
T20120000543,Clear,1.0
T20120000544,Clear,1.0
T20120000545,Clear,1.0
T20120000554,Clear,1.0
T20120000557,"Clear, Strong winds",1.67
T20120000560,Clear,1.0
T20120000565,Clear,1.0
T20120000568,Clear,1.0
T20120000574,Clear,1.0
T20120000578,Clear,1.0
T20120000579,Clear,1.0
T20120000592,Clear,1.0
T20120000593,Clear,1.0
T20120000595,Clear,1.0
T20120000598,Clear,1.0
T20120000601,Clear,1.0
T20120000602,Clear,1.0
T20120000603,Clear,1.0
T20120000608,Clear,1.0
T20120000610,Clear,1.0
T20120000616,Dust,4.0
T20120000617,Clear,1.0
T20120000620,Clear,1.0
T20120000621,Clear,1.0
T20120000623,Clear,1.0
T20120000630,Clear,1.0
T20120000631,Raining,3.0
T20120000632,Clear,1.0
T20120000638,Clear,1.0
T20120000645,Clear,1.0
T20120000646,Clear,1.0
T20120000648,Clear,1.0
T20120000650,Clear,1.0
T20120000655,Clear,1.0
T20120000659,Clear,1.0
T20120000664,Clear,1.0
T20120000665,Clear,1.0
T20120000672,Clear,1.0
T20120000673,Clear,1.0
T20120000674,Clear,1.0
T20120000675,Clear,1.0
T20120000676,Clear,1.0
T20120000678,Clear,1.0
T20120000686,Clear,1.0
T20120000698,Clear,1.0
T20120000706,Clear,1.0
T20120000709,Raining,3.0
T20120000714,"Clear, Strong winds",1.67
T20120000715,Clear,1.0
T20120000717,Clear,1.0
T20120000718,Clear,1.0
T20120000719,"Raining, Strong winds",2.33
T20120000727,Clear,1.0
T20120000728,Clear,1.0
T20120000730,"Clear, Strong winds",1.67
T20120000732,"Clear, Strong winds",1.67
T20120000736,Raining,3.0
T20120000739,"Raining, Strong winds",2.33
T20120000740,Raining,3.0
T20120000742,Clear,1.0
T20120000744,Raining,3.0
T20120000745,"Clear, Strong winds",1.67
T20120000747,Strong winds,2.0
T20120000748,Clear,1.0
T20120000750,Clear,1.0
T20120000751,"Clear, Strong winds",1.67
T20120000752,Raining,3.0
T20120000754,Clear,1.0
T20120000759,"Clear, Strong winds",1.67
T20120000761,"Raining, Strong winds",2.33
T20120000764,Clear,1.0
T20120000768,Clear,1.0
T20120000771,Clear,1.0
T20120000779,Clear,1.0
T20120000781,Clear,1.0
T20120000782,Clear,1.0
T20120000783,Clear,1.0
T20120000791,Raining,3.0
T20120000792,Clear,1.0
T20120000797,Clear,1.0
T20120000798,Raining,3.0
T20120000799,Clear,1.0
T20120000800,Clear,1.0
T20120000804,Raining,3.0
T20120000812,Raining,3.0
T20120000813,Clear,1.0
T20120000814,Raining,3.0
T20120000818,Clear,1.0
T20120000819,Raining,3.0
T20120000821,Clear,1.0
T20120000822,Clear,1.0
T20120000829,"Raining, Strong winds",2.33
T20120000830,Clear,1.0
T20120000831,Clear,1.0
T20120000833,Clear,1.0
T20120000834,Raining,3.0
T20120000835,Clear,1.0
T20120000837,Raining,3.0
T20120000838,Clear,1.0
T20120000840,Clear,1.0
T20120000844,Clear,1.0
T20120000845,Clear,1.0
T20120000847,Clear,1.0
T20120000848,Clear,1.0
T20120000849,Clear,1.0
T20120000850,Clear,1.0
T20120000855,Clear,1.0
T20120000858,Clear,1.0
T20120000859,Clear,1.0
T20120000862,Clear,1.0
T20120000863,Clear,1.0
T20120000864,Clear,1.0
T20120000865,Clear,1.0
T20120000867,Clear,1.0
T20120000868,Clear,1.0
T20120000870,Raining,3.0
T20120000871,Clear,1.0
T20120000874,Clear,1.0
T20120000876,Clear,1.0
T20120000877,Raining,3.0
T20120000880,Clear,1.0
T20120000885,Clear,1.0
T20120000887,Raining,3.0
T20120000888,Clear,1.0
T20120000894,Raining,3.0
T20120000897,Clear,1.0
T20120000899,Clear,1.0
T20120000900,Clear,1.0
T20120000902,Clear,1.0
T20120000905,Clear,1.0
T20120000906,Clear,1.0
T20120000915,Clear,1.0
T20120000919,Clear,1.0
T20120000920,Clear,1.0
T20120000924,Clear,1.0
T20120000925,Clear,1.0
T20120000927,Clear,1.0
T20120000930,Clear,1.0
T20120000939,Raining,3.0
T20120000941,Raining,3.0
T20120000942,Clear,1.0
T20120000943,Clear,1.0
T20120000945,Clear,1.0
T20120000947,Clear,1.0
T20120000949,Clear,1.0
T20120000955,Raining,3.0
T20120000960,Clear,1.0
T20120000961,Clear,1.0
T20120000968,Clear,1.0
T20120000974,Clear,1.0
T20120000976,Clear,1.0
T20120000978,Clear,1.0
T20120000979,Clear,1.0
T20120000980,Clear,1.0
T20120000990,Clear,1.0
T20120000992,Clear,1.0
T20120000994,Clear,1.0
T20120000995,Clear,1.0
T20120001000,Clear,1.0
T20120001007,Clear,1.0
T20120001015,Clear,1.0
T20120001016,Clear,1.0
T20120001019,Clear,1.0
T20120001026,Clear,1.0
T20120001033,Clear,1.0
T20120001035,Clear,1.0
T20120001037,Clear,1.0
T20120001040,Clear,1.0
T20120001041,Clear,1.0
T20120001042,Clear,1.0
T20120001047,Clear,1.0
T20120001050,Clear,1.0
T20120001051,Clear,1.0
T20120001052,Clear,1.0
T20120001053,Clear,1.0
T20120001054,Clear,1.0
T20120001055,Clear,1.0
T20120001057,Clear,1.0
T20120001059,Clear,1.0
T20120001061,Clear,1.0
T20120001063,Clear,1.0
T20120001064,Clear,1.0
T20120001065,Clear,1.0
T20120001066,Clear,1.0
T20120001067,Clear,1.0
T20120001068,Clear,1.0
T20120001069,Clear,1.0
T20120001070,Clear,1.0
T20120001073,Clear,1.0
T20120001074,Clear,1.0
T20120001075,Clear,1.0
T20120001078,Clear,1.0
T20120001079,Clear,1.0
T20120001081,Clear,1.0
T20120001082,Clear,1.0
T20120001083,Clear,1.0
T20120001085,Clear,1.0
T20120001089,Clear,1.0
T20120001091,Clear,1.0
T20120001096,Clear,1.0
T20120001100,Clear,1.0
T20120001102,Clear,1.0
T20120001104,Clear,1.0
T20120001106,Clear,1.0
T20120001110,Clear,1.0
T20120001113,Clear,1.0
T20120001116,Clear,1.0
T20120001118,Clear,1.0
T20120001120,Clear,1.0
T20120001123,Clear,1.0
T20120001124,Clear,1.0
T20120001128,Clear,1.0
T20120001129,Clear,1.0
T20120001131,Clear,1.0
T20120001132,Clear,1.0
T20120001135,Clear,1.0
T20120001137,Clear,1.0
T20120001140,Clear,1.0
T20120001145,Clear,1.0
T20120001148,Clear,1.0
T20120001149,Clear,1.0
T20120001150,"Clear, Strong winds",1.67
T20120001152,Clear,1.0
T20120001156,Clear,1.0
T20120001159,Clear,1.0
T20120001160,Clear,1.0
T20120001161,Clear,1.0
T20120001162,Clear,1.0
T20120001164,Clear,1.0
T20120001165,Clear,1.0
T20120001166,Clear,1.0
T20120001169,Clear,1.0
T20120001173,Clear,1.0
T20120001179,Clear,1.0
T20120001180,Clear,1.0
T20120001183,Clear,1.0
T20120001185,Clear,1.0
T20120001187,Clear,1.0
T20120001190,Clear,1.0
T20120001191,Clear,1.0
T20120001194,Clear,1.0
T20120001197,Clear,1.0
T20120001198,Clear,1.0
T20120001209,Clear,1.0
T20120001210,Clear,1.0
T20120001215,"Clear, Strong winds",1.67
T20120001216,Clear,1.0
T20120001223,Clear,1.0
T20120001225,"Clear, Strong winds",1.67
T20120001227,Clear,1.0
T20120001229,Clear,1.0
T20120001231,Clear,1.0
T20120001234,"Clear, Strong winds",1.67
T20120001239,Clear,1.0
T20120001242,Clear,1.0
T20120001243,Clear,1.0
T20120001244,Clear,1.0
T20120001245,Clear,1.0
T20120001248,Clear,1.0
T20120001251,Clear,1.0
T20120001258,Clear,1.0
T20120001259,Clear,1.0
T20120001260,Clear,1.0
T20120001264,Clear,1.0
T20120001271,Clear,1.0
T20120001272,Clear,1.0
T20120001274,Clear,1.0
T20120001275,Clear,1.0
T20120001278,Raining,3.0
T20120001281,Clear,1.0
T20120001283,Clear,1.0
T20120001284,Clear,1.0
T20120001289,Clear,1.0
T20120001290,Clear,1.0
T20120001291,Clear,1.0
T20120001292,Clear,1.0
T20120001293,Clear,1.0
T20120001296,Clear,1.0
T20120001298,Clear,1.0
T20120001299,"Clear, Strong winds",1.67
T20120001300,Clear,1.0
T20120001301,Clear,1.0
T20120001302,Clear,1.0
T20120001306,Clear,1.0
T20120001309,Clear,1.0
T20120001311,Clear,1.0
T20120001312,Clear,1.0
T20120001314,Clear,1.0
T20120001316,Clear,1.0
T20120001318,Clear,1.0
T20120001323,Clear,1.0
T20120001326,Clear,1.0
T20120001339,Clear,1.0
T20120001340,Clear,1.0
T20120001343,Clear,1.0
T20120001344,Clear,1.0
T20120001347,Clear,1.0
T20120001354,Clear,1.0
T20120001355,Clear,1.0
T20120001356,Clear,1.0
T20120001357,Clear,1.0
T20120001361,Clear,1.0
T20120001364,Clear,1.0
T20120001366,Clear,1.0
T20120001370,Clear,1.0
T20120001371,Clear,1.0
T20120001372,Clear,1.0
T20120001374,Clear,1.0
T20120001375,Clear,1.0
T20120001378,Clear,1.0
T20120001382,Clear,1.0
T20120001390,Clear,1.0
T20120001391,Clear,1.0
T20120001392,Clear,1.0
T20120001395,Clear,1.0
T20120001399,Clear,1.0
T20120001400,Clear,1.0
T20120001401,Clear,1.0
T20120001406,Clear,1.0
T20120001407,Clear,1.0
T20120001408,Clear,1.0
T20120001410,Clear,1.0
T20120001411,Clear,1.0
T20120001412,Clear,1.0
T20120001413,Clear,1.0
T20120001415,Clear,1.0
T20120001417,Clear,1.0
T20120001419,Clear,1.0
T20120001421,Clear,1.0
T20120001422,Clear,1.0
T20120001426,Clear,1.0
T20120001427,Clear,1.0
T20120001429,Clear,1.0
T20120001431,Clear,1.0
T20120001435,Raining,3.0
T20120001437,Clear,1.0
T20120001438,Clear,1.0
T20120001441,Clear,1.0
T20120001444,Clear,1.0
T20120001448,Clear,1.0
T20120001449,Clear,1.0
T20120001452,Clear,1.0
T20120001456,Clear,1.0
T20120001457,Clear,1.0
T20120001458,Clear,1.0
T20120001460,Clear,1.0
T20120001461,Clear,1.0
T20120001462,Clear,1.0
T20120001463,Clear,1.0
T20120001467,Clear,1.0
T20120001469,Clear,1.0
T20120001470,Clear,1.0
T20120001475,Clear,1.0
T20120001476,Clear,1.0
T20120001477,Clear,1.0
T20120001478,Clear,1.0
T20120001479,Clear,1.0
T20120001481,Clear,1.0
T20120001483,Clear,1.0
T20120001485,Clear,1.0
T20120001488,Clear,1.0
T20120001489,Clear,1.0
T20120001491,Clear,1.0
T20120001494,Clear,1.0
T20120001496,Clear,1.0
T20120001497,Clear,1.0
T20120001500,Clear,1.0
T20120001501,Clear,1.0
T20120001502,Clear,1.0
T20120001503,Clear,1.0
T20120001504,Clear,1.0
T20120001509,Clear,1.0
T20120001512,Clear,1.0
T20120001514,Clear,1.0
T20120001515,Clear,1.0
T20120001516,Clear,1.0
T20120001520,Clear,1.0
T20120001523,Clear,1.0
T20120001527,Clear,1.0
T20120001529,Clear,1.0
T20120001531,Clear,1.0
T20120001532,Clear,1.0
T20120001534,Clear,1.0
T20120001536,Clear,1.0
T20120001538,Clear,1.0
T20120001539,Clear,1.0
T20120001541,Clear,1.0
T20120001542,Clear,1.0
T20120001543,Clear,1.0
T20120001547,Clear,1.0
T20120001549,Clear,1.0
T20120001550,Clear,1.0
T20120001551,Clear,1.0
T20120001553,Clear,1.0
T20120001555,Clear,1.0
T20120001557,Clear,1.0
T20120001558,Clear,1.0
T20120001559,Clear,1.0
T20120001561,Dust,4.0
T20120001562,Clear,1.0
T20120001566,Clear,1.0
T20120001567,Clear,1.0
T20120001568,Clear,1.0
T20120001569,Clear,1.0
T20120001571,Clear,1.0
T20120001576,Clear,1.0
T20120001578,Clear,1.0
T20120001584,Clear,1.0
T20120001586,Clear,1.0
T20120001587,Clear,1.0
T20120001588,Clear,1.0
T20120001591,Clear,1.0
T20120001592,Clear,1.0
T20120001597,Clear,1.0
T20120001602,Clear,1.0
T20120001603,Clear,1.0
T20120001608,Clear,1.0
T20120001611,Clear,1.0
T20120001614,Clear,1.0
T20120001615,Clear,1.0
T20120001617,Clear,1.0
T20120001618,Clear,1.0
T20120001619,Clear,1.0
T20120001620,Clear,1.0
T20120001621,Clear,1.0
T20120001630,Clear,1.0
T20120001632,Clear,1.0
T20120001641,Clear,1.0
T20120001642,Clear,1.0
T20120001643,Clear,1.0
T20120001644,Clear,1.0
T20120001647,Clear,1.0
T20120001654,Clear,1.0
T20120001656,Clear,1.0
T20120001657,Clear,1.0
T20120001661,Clear,1.0
T20120001663,Clear,1.0
T20120001665,Clear,1.0
T20120001668,Clear,1.0
T20120001669,Clear,1.0
T20120001670,Clear,1.0
T20120001671,Clear,1.0
T20120001673,Clear,1.0
T20120001677,Clear,1.0
T20120001679,Clear,1.0
T20120001686,Clear,1.0
T20120001687,Clear,1.0
T20120001689,Clear,1.0
T20120001693,Clear,1.0
T20120001700,Clear,1.0
T20120001702,Clear,1.0
T20120001707,Clear,1.0
T20120001708,Clear,1.0
T20120001709,Clear,1.0
T20120001710,Clear,1.0
T20120001712,Clear,1.0
T20120001713,Clear,1.0
T20120001715,Clear,1.0
T20120001716,Clear,1.0
T20120001718,Clear,1.0
T20120001719,Clear,1.0
T20120001724,Clear,1.0
T20120001725,Clear,1.0
T20120001727,Clear,1.0
T20120001732,Clear,1.0
T20120001733,Clear,1.0
T20120001734,Clear,1.0
T20120001735,Clear,1.0
T20120001740,Clear,1.0
T20120001742,Clear,1.0
T20120001743,Clear,1.0
T20120001744,Clear,1.0
T20120001746,Clear,1.0
T20120001747,Clear,1.0
T20120001748,Clear,1.0
T20120001750,Clear,1.0
T20120001759,Clear,1.0
T20120001760,Clear,1.0
T20120001763,Clear,1.0
T20120001765,Clear,1.0
T20120001770,Clear,1.0
T20120001771,Clear,1.0
T20120001772,Clear,1.0
T20120001773,Clear,1.0
T20120001777,Clear,1.0
T20120001778,Clear,1.0
T20120001780,Clear,1.0
T20120001781,Clear,1.0
T20120001782,Clear,1.0
T20120001786,Clear,1.0
T20120001787,Clear,1.0
T20120001791,Clear,1.0
T20120001793,Clear,1.0
T20120001794,Clear,1.0
T20120001795,Clear,1.0
T20120001797,Clear,1.0
T20120001802,Clear,1.0
T20120001804,Clear,1.0
T20120001809,Clear,1.0
T20120001818,Clear,1.0
T20120001820,Clear,1.0
T20120001821,Clear,1.0
T20120001822,Clear,1.0
T20120001824,Clear,1.0
T20120001825,Clear,1.0
T20120001826,Clear,1.0
T20120001827,Clear,1.0
T20120001830,Clear,1.0
T20120001833,Clear,1.0
T20120001837,Clear,1.0
T20120001840,Clear,1.0
T20120001843,Clear,1.0
T20120001847,Clear,1.0
T20120001849,Clear,1.0
T20120001851,Clear,1.0
T20120001852,Clear,1.0
T20120001853,Clear,1.0
T20120001855,Clear,1.0
T20120001859,Clear,1.0
T20120001860,Clear,1.0
T20120001864,Clear,1.0
T20120001865,Clear,1.0
T20120001870,Clear,1.0
T20120001872,Clear,1.0
T20120001873,Clear,1.0
T20120001876,Clear,1.0
T20120001879,Clear,1.0
T20120001883,Clear,1.0
T20120001884,Clear,1.0
T20120001888,Clear,1.0
T20120001891,Clear,1.0
T20120001894,Clear,1.0
T20120001898,Clear,1.0
T20120001900,Clear,1.0
T20120001906,Clear,1.0
T20120001910,Clear,1.0
T20120001916,Clear,1.0
T20120001921,Clear,1.0
T20120001925,Clear,1.0
T20120001928,Clear,1.0
T20120001930,Clear,1.0
T20120001932,Clear,1.0
T20120001934,Clear,1.0
T20120001935,Clear,1.0
T20120001942,Clear,1.0
T20120001944,Clear,1.0
T20120001948,Clear,1.0
T20120001951,Clear,1.0
T20120001952,Clear,1.0
T20120001954,Clear,1.0
T20120001955,Clear,1.0
T20120001956,Clear,1.0
T20120001960,Clear,1.0
T20120001962,Clear,1.0
T20120001965,Clear,1.0
T20120001967,Clear,1.0
T20120001969,Clear,1.0
T20120001971,Clear,1.0
T20120001975,Clear,1.0
T20120001978,Clear,1.0
T20120001980,Clear,1.0
T20120001981,Clear,1.0
T20120001984,Clear,1.0
T20120001985,Clear,1.0
T20120001989,Clear,1.0
T20120001990,Clear,1.0
T20120001991,Clear,1.0
T20120001994,Clear,1.0
T20120001995,Clear,1.0
T20120001996,Clear,1.0
T20120001998,Clear,1.0
T20120001999,Clear,1.0
T20120002002,Clear,1.0
T20120002003,Clear,1.0
T20120002008,Clear,1.0
T20120002011,Clear,1.0
T20120002012,Clear,1.0
T20120002013,Clear,1.0
T20120002014,Clear,1.0
T20120002015,Clear,1.0
T20120002018,Clear,1.0
T20120002022,Clear,1.0
T20120002025,Clear,1.0
T20120002032,Clear,1.0
T20120002034,Clear,1.0
T20120002037,Clear,1.0
T20120002038,Clear,1.0
T20120002042,Clear,1.0
T20120002043,Clear,1.0
T20120002046,Clear,1.0
T20120002048,Clear,1.0
T20120002050,Clear,1.0
T20120002051,Clear,1.0
T20120002056,Clear,1.0
T20120002059,Clear,1.0
T20120002060,Clear,1.0
T20120002061,Clear,1.0
T20120002066,Clear,1.0
T20120002067,Clear,1.0
T20120002068,Clear,1.0
T20120002073,Clear,1.0
T20120002074,Clear,1.0
T20120002076,Clear,1.0
T20120002079,Clear,1.0
T20120002082,Clear,1.0
T20120002083,Clear,1.0
T20120002084,Clear,1.0
T20120002090,Clear,1.0
T20120002094,Clear,1.0
T20120002095,Clear,1.0
T20120002096,Clear,1.0
T20120002097,Clear,1.0
T20120002102,Clear,1.0
T20120002106,Clear,1.0
T20120002108,Clear,1.0
T20120002110,Clear,1.0
T20120002114,Clear,1.0
T20120002115,Clear,1.0
T20120002116,Clear,1.0
T20120002117,Clear,1.0
T20120002118,Clear,1.0
T20120002119,Clear,1.0
T20120002120,Clear,1.0
T20120002121,Clear,1.0
T20120002122,Clear,1.0
T20120002123,Clear,1.0
T20120002124,Clear,1.0
T20120002125,Clear,1.0
T20120002126,Clear,1.0
T20120002127,Clear,1.0
T20120002129,Clear,1.0
T20120002130,Clear,1.0
T20120002132,Clear,1.0
T20120002134,Clear,1.0
T20120002138,Clear,1.0
T20120002139,Clear,1.0
T20120002141,Clear,1.0
T20120002142,Clear,1.0
T20120002145,Clear,1.0
T20120002146,Clear,1.0
T20120002149,Clear,1.0
T20120002156,Clear,1.0
T20120002161,Clear,1.0
T20120002163,Clear,1.0
T20120002165,Clear,1.0
T20120002170,Clear,1.0
T20120002176,Clear,1.0
T20120002177,Clear,1.0
T20120002179,Clear,1.0
T20120002181,Clear,1.0
T20120002182,Clear,1.0
T20120002184,Clear,1.0
T20120002185,Clear,1.0
T20120002189,Clear,1.0
T20120002191,Clear,1.0
T20120002195,Clear,1.0
T20120002197,Clear,1.0
T20120002199,Clear,1.0
T20120002200,Raining,3.0
T20120002202,Clear,1.0
T20120002203,Clear,1.0
T20120002206,Clear,1.0
T20120002211,Clear,1.0
T20120002215,Raining,3.0
T20120002216,Raining,3.0
T20120002217,Raining,3.0
T20120002223,Clear,1.0
T20120002224,Clear,1.0
T20120002227,Raining,3.0
T20120002228,Raining,3.0
T20120002232,Clear,1.0
T20120002236,Clear,1.0
T20120002238,Raining,3.0
T20120002241,Raining,3.0
T20120002242,Clear,1.0
T20120002246,Clear,1.0
T20120002248,Clear,1.0
T20120002251,Raining,3.0
T20120002253,Raining,3.0
T20120002256,Raining,3.0
T20120002257,Clear,1.0
T20120002259,Raining,3.0
T20120002262,Clear,1.0
T20120002263,Clear,1.0
T20120002267,Clear,1.0
T20120002268,Clear,1.0
T20120002271,Clear,1.0
T20120002273,Clear,1.0
T20120002275,Clear,1.0
T20120002276,Raining,3.0
T20120002279,Clear,1.0
T20120002283,Clear,1.0
T20120002285,Clear,1.0
T20120002286,Raining,3.0
T20120002287,Clear,1.0
T20120002289,Clear,1.0
T20120002290,Raining,3.0
T20120002293,Raining,3.0
T20120002294,Clear,1.0
T20120002295,Clear,1.0
T20120002298,Clear,1.0
T20120002301,Clear,1.0
T20120002302,Clear,1.0
T20120002309,Raining,3.0
T20120002310,Clear,1.0
T20120002312,Raining,3.0
T20120002320,Clear,1.0
T20120002323,Clear,1.0
T20120002326,Clear,1.0
T20120002328,Clear,1.0
T20120002329,Clear,1.0
T20120002330,Raining,3.0
T20120002331,Clear,1.0
T20120002332,Clear,1.0
T20120002337,Clear,1.0
T20120002341,Clear,1.0
T20120002342,Clear,1.0
T20120002344,Raining,3.0
T20120002345,Raining,3.0
T20120002348,Clear,1.0
T20120002350,"Clear, Strong winds",1.67
T20120002351,Clear,1.0
T20120002354,Clear,1.0
T20120002355,Clear,1.0
T20120002356,Clear,1.0
T20120002363,Clear,1.0
T20120002366,Clear,1.0
T20120002367,Clear,1.0
T20120002371,Clear,1.0
T20120002372,Raining,3.0
T20120002377,Clear,1.0
T20120002379,Clear,1.0
T20120002380,Clear,1.0
T20120002382,Clear,1.0
T20120002384,Clear,1.0
T20120002387,Clear,1.0
T20120002390,Clear,1.0
T20120002391,Clear,1.0
T20120002393,Clear,1.0
T20120002394,Clear,1.0
T20120002397,Clear,1.0
T20120002410,Clear,1.0
T20120002412,Clear,1.0
T20120002414,Clear,1.0
T20120002415,Clear,1.0
T20120002417,Clear,1.0
T20120002420,Clear,1.0
T20120002421,Clear,1.0
T20120002423,Clear,1.0
T20120002424,Clear,1.0
T20120002425,Raining,3.0
T20120002429,Clear,1.0
T20120002435,Clear,1.0
T20120002439,Clear,1.0
T20120002440,Clear,1.0
T20120002443,Clear,1.0
T20120002444,Clear,1.0
T20120002447,Clear,1.0
T20120002450,Clear,1.0
T20120002451,Clear,1.0
T20120002452,Clear,1.0
T20120002462,Clear,1.0
T20120002464,Clear,1.0
T20120002473,Clear,1.0
T20120002474,Clear,1.0
T20120002475,Clear,1.0
T20120002478,Clear,1.0
T20120002479,Clear,1.0
T20120002480,Clear,1.0
T20120002482,Clear,1.0
T20120002486,Clear,1.0
T20120002488,Clear,1.0
T20120002490,Clear,1.0
T20120002498,Clear,1.0
T20120002499,Clear,1.0
T20120002500,Clear,1.0
T20120002501,Clear,1.0
T20120002502,Clear,1.0
T20120002507,Clear,1.0
T20120002508,Clear,1.0
T20120002509,Clear,1.0
T20120002510,Clear,1.0
T20120002515,Clear,1.0
T20120002517,Clear,1.0
T20120002518,Clear,1.0
T20120002519,Clear,1.0
T20120002520,Clear,1.0
T20120002521,Clear,1.0
T20120002522,Clear,1.0
T20120002527,Clear,1.0
T20120002529,Clear,1.0
T20120002530,Clear,1.0
T20120002535,Clear,1.0
T20120002537,Clear,1.0
T20120002539,Clear,1.0
T20120002545,Clear,1.0
T20120002547,Clear,1.0
T20120002549,Clear,1.0
T20120002550,Clear,1.0
T20120002551,Clear,1.0
T20120002552,"Clear, Strong winds",1.67
T20120002563,Clear,1.0
T20120002569,Clear,1.0
T20120002573,Clear,1.0
T20120002575,Clear,1.0
T20120002576,Clear,1.0
T20120002577,Clear,1.0
T20120002579,Clear,1.0
T20120002580,Clear,1.0
T20120002582,Clear,1.0
T20120002583,Clear,1.0
T20120002585,Clear,1.0
T20120002591,Clear,1.0
T20120002595,Clear,1.0
T20120002596,Clear,1.0
T20120002598,Clear,1.0
T20120002601,Clear,1.0
