ACCIDENT_NO,SURFACE_COND_DESC,SURFACE_INDEX
T20210012547,Dry,1.0
T20210012549,Dry,1.0
T20210012552,Wet,2.0
T20210012555,Wet,2.0
T20210012557,Dry,1.0
T20210012563,Dry,1.0
T20210012565,Dry,1.0
T20210012575,Dry,1.0
T20210012576,Muddy,3.0
T20210012577,Dry,1.0
T20210012582,Dry,1.0
T20210012583,Dry,1.0
T20210012585,Wet,2.0
T20210012586,Dry,1.0
T20210012587,Dry,1.0
T20210012588,Dry,1.0
T20210012589,Dry,1.0
T20210012594,Dry,1.0
T20210012599,Dry,1.0
T20210012602,Wet,2.0
T20210012603,Dry,1.0
T20210012604,Dry,1.0
T20210012605,Dry,1.0
T20210012607,Dry,1.0
T20210012608,Dry,1.0
T20210012610,Wet,2.0
T20210012611,Dry,1.0
T20210012613,Dry,1.0
T20210012621,Dry,1.0
T20210012624,Dry,1.0
T20210012625,Dry,1.0
T20210012626,Dry,1.0
T20210012628,Dry,1.0
T20210012629,Dry,1.0
T20210012630,Dry,1.0
T20210012631,Wet,2.0
T20210012632,Dry,1.0
T20210012633,Dry,1.0
T20210012638,Dry,1.0
T20210012639,Wet,2.0
T20210012646,Dry,1.0
T20210012648,Dry,1.0
T20210012649,Dry,1.0
T20210012650,Dry,1.0
T20210012651,Dry,1.0
T20210012652,Dry,1.0
T20210012656,Wet,2.0
T20210012661,Dry,1.0
T20210012663,Dry,1.0
T20210012666,Wet,2.0
T20210012667,Wet,2.0
T20210012670,Dry,1.0
T20210012675,Wet,2.0
T20210012676,Wet,2.0
T20210012677,Wet,2.0
T20210012678,Wet,2.0
T20210012679,Wet,2.0
T20210012683,Wet,2.0
T20210012684,Dry,1.0
T20210012688,Dry,1.0
T20210012692,Dry,1.0
T20210012693,Wet,2.0
T20210012701,Wet,2.0
T20210012703,Wet,2.0
T20210012704,Dry,1.0
T20210012706,Dry,1.0
T20210012708,Dry,1.0
T20210012712,Wet,2.0
T20210012713,Dry,1.0
T20210012715,"Wet, Muddy",2.67
T20210012719,Wet,2.0
T20210012721,Dry,1.0
T20210012723,Dry,1.0
T20210012724,Wet,2.0
T20210012725,Wet,2.0
T20210012726,Wet,2.0
T20210012728,Wet,2.0
T20210012729,Wet,2.0
T20210012731,Dry,1.0
T20210012732,Wet,2.0
T20210012734,Wet,2.0
T20210012741,Dry,1.0
T20210012744,"Wet, Dry",1.33
T20210012745,Wet,2.0
T20210012747,Wet,2.0
T20210012749,Wet,2.0
T20210012751,Wet,2.0
T20210012752,Wet,2.0
T20210012753,Dry,1.0
T20210012754,Dry,1.0
T20210012755,Dry,1.0
T20210012759,Dry,1.0
T20210012761,Wet,2.0
T20210012762,Dry,1.0
T20210012764,Wet,2.0
T20210012765,Dry,1.0
T20210012767,Wet,2.0
T20210012771,Wet,2.0
T20210012773,Wet,2.0
T20210012774,Wet,2.0
T20210012775,Dry,1.0
T20210012776,Dry,1.0
T20210012778,Wet,2.0
T20210012779,Wet,2.0
T20210012780,Dry,1.0
T20210012781,Wet,2.0
T20210012782,Wet,2.0
T20210012783,Wet,2.0
T20210012784,Wet,2.0
T20210012787,Wet,2.0
T20210012788,Wet,2.0
T20210012791,Wet,2.0
T20210012792,Wet,2.0
T20210012793,Wet,2.0
T20210012795,Wet,2.0
T20210012797,Dry,1.0
T20210012798,Wet,2.0
T20210012799,Wet,2.0
T20210012800,Dry,1.0
T20210012801,Wet,2.0
T20210012802,Wet,2.0
T20210012804,Wet,2.0
T20210012808,Wet,2.0
T20210012809,Wet,2.0
T20210012810,Dry,1.0
T20210012812,Wet,2.0
T20210012815,Wet,2.0
T20210012817,Wet,2.0
T20210012823,Dry,1.0
T20210012824,Wet,2.0
T20210012826,Dry,1.0
T20210012827,Dry,1.0
T20210012829,Dry,1.0
T20210012830,Wet,2.0
T20210012831,Wet,2.0
T20210012833,Wet,2.0
T20210012834,Wet,2.0
T20210012835,Wet,2.0
T20210012837,Dry,1.0
T20210012840,Wet,2.0
T20210012842,Dry,1.0
T20210012845,Dry,1.0
T20210012846,Dry,1.0
T20210012847,"Wet, Muddy",2.67
T20210012850,Dry,1.0
T20210012852,Dry,1.0
T20210012853,Dry,1.0
T20210012854,Dry,1.0
T20210012856,Dry,1.0
T20210012857,Dry,1.0
T20210012858,Wet,2.0
T20210012859,Wet,2.0
T20210012860,Dry,1.0
T20210012861,Dry,1.0
T20210012863,Wet,2.0
T20210012864,Dry,1.0
T20210012866,Dry,1.0
T20210012867,Wet,2.0
T20210012868,Dry,1.0
T20210012869,Wet,2.0
T20210012870,Dry,1.0
T20210012876,Dry,1.0
T20210012877,Dry,1.0
T20210012879,Dry,1.0
T20210012881,Dry,1.0
T20210012883,Wet,2.0
T20210012885,Dry,1.0
T20210012889,"Wet, Muddy",2.67
T20210012891,Dry,1.0
T20210012893,Dry,1.0
T20210012895,Dry,1.0
T20210012897,Dry,1.0
T20210012898,Dry,1.0
T20210012902,Dry,1.0
T20210012903,Dry,1.0
T20210012906,Dry,1.0
T20210012909,Dry,1.0
T20210012910,Wet,2.0
T20210012912,Dry,1.0
T20210012913,Dry,1.0
T20210012914,Wet,2.0
T20210012916,Wet,2.0
T20210012920,Dry,1.0
T20210012921,"Wet, Muddy",2.67
T20210012922,Dry,1.0
T20210012926,Dry,1.0
T20210012927,Dry,1.0
T20210012930,Dry,1.0
T20210012932,Wet,2.0
T20210012933,Dry,1.0
T20210012938,Dry,1.0
T20210012942,Dry,1.0
T20210012943,Dry,1.0
T20210012945,Wet,2.0
T20210012946,Wet,2.0
T20210012947,Wet,2.0
T20210012951,Wet,2.0
T20210012955,Wet,2.0
T20210012957,Dry,1.0
T20210012958,Dry,1.0
T20210012959,Dry,1.0
T20210012960,Dry,1.0
T20210012963,Wet,2.0
T20210012966,Dry,1.0
T20210012967,Dry,1.0
T20210012968,Dry,1.0
T20210012970,Dry,1.0
T20210012971,Dry,1.0
T20210012972,Dry,1.0
T20210012977,Wet,2.0
T20210012981,Dry,1.0
T20210012982,Dry,1.0
T20210012983,Dry,1.0
T20210012985,Dry,1.0
T20210012986,Dry,1.0
T20210012988,Dry,1.0
T20210012989,Dry,1.0
T20210012993,"Wet, Muddy",2.67
T20210012994,Dry,1.0
T20210012995,Dry,1.0
T20210012996,Dry,1.0
T20210012997,Dry,1.0
T20210012999,Dry,1.0
T20210013002,Dry,1.0
T20210013003,Dry,1.0
T20210013004,Dry,1.0
T20210013010,Dry,1.0
T20210013012,Muddy,3.0
T20210013014,Muddy,3.0
T20210013015,Dry,1.0
T20210013016,Dry,1.0
T20210013019,Dry,1.0
T20210013021,Dry,1.0
T20210013022,Dry,1.0
T20210013023,Wet,2.0
T20210013024,Dry,1.0
T20210013025,Dry,1.0
T20210013027,Dry,1.0
T20210013032,Dry,1.0
T20210013033,Dry,1.0
T20210013034,Muddy,3.0
T20210013038,Dry,1.0
T20210013041,Dry,1.0
T20210013042,Dry,1.0
T20210013044,Dry,1.0
T20210013045,Dry,1.0
T20210013051,Dry,1.0
T20210013057,Dry,1.0
T20210013058,Dry,1.0
T20210013059,Dry,1.0
T20210013066,Dry,1.0
T20210013067,Dry,1.0
T20210013070,Dry,1.0
T20210013071,Wet,2.0
T20210013074,Dry,1.0
T20210013080,Dry,1.0
T20210013082,Dry,1.0
T20210013083,Dry,1.0
T20210013086,Dry,1.0
T20210013088,Dry,1.0
